AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Korea Particle Therapy Cancer Center Co Ltd'],['Kosun Bio Co Ltd'],2019-09-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.253,WON,,Acquisition Of Partial Interest,Withdrawn,3.253,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000088,Private,Public,Hospitals,Food and Beverage,,-11.426,0.0,103.054,-11.65,-13.718,105.073,41.55,2019-09-05
['Hainan Development Holdings Co Ltd'],['Jiangsu Boamax Technologies Group Co Ltd'],2019-04-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.286,CY,,Acquisition Of Partial Interest,Withdrawn,1.286,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000030,Private,Public,Building/Construction & Engineering,Other Industrials,,48.323,22.833,5.529,50.844,24.024,5.817,57.805,2019-04-18
['Adani Logistics Ltd'],['Snowman Logistics Ltd'],2019-12-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.617,RE,,Acquisition Of Partial Interest,Withdrawn,0.617,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000015,Subsidiary,Public,Transportation & Infrastructure,Other Industrials,,-280.874,11.781,3.068,-350.166,14.687,3.825,41.508,2019-12-27
['Investor Group'],['Capricorn Metals Ltd'],2019-04-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.039,AU,,Merger,Withdrawn,0.039,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999984,Private,Public,Other Financials,Metals & Mining,,-23.946,0.0,564.789,-23.609,-24.287,556.836,60.043,2019-04-01
['Randa Accessories'],['Perry Ellis International Inc'],2018-07-02,0,Americas,Americas,28.9,US,['Expand presence in new/foreign markets'],Merger,Withdrawn,28.0,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000015,Private,Public,Textiles & Apparel,Textiles & Apparel,,7.903,8.452,0.516,9.443,10.099,0.617,547.927,2018-07-02
['Zhuhai Huafa Group Co Ltd'],['East Group Co Ltd'],2018-11-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.734,CY,,Acquisition Of Remaining Interest,Intent Withdrawn,0.734,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000007,Private,Public,Other Real Estate,Semiconductors,,15.839,12.412,1.979,16.193,12.689,2.024,85.48,2018-11-07
['Neoenergia SA'],['Eletropaulo Metropolitana Eletricidade De Sao Paulo S/A'],2018-04-16,0,Americas,Americas,10.612,BR,"['Strengthen existing operations/expand presence in primary market', 'Proceeds used to pay down existing outstanding debt', 'Response to other bid/tender offer']",Merger,Withdrawn,6.848,1970-01-01 00:00:00.000000115,1970-01-01 00:00:00.000000121,1970-01-01 00:00:00.000000117,Subsidiary,Public,Power,Power,,-7.53,5.821,0.481,-11.077,8.562,0.708,2564.421,2018-04-16
['G-Tree Holdings Co Ltd'],['HLB Therapeutics Co Ltd'],2020-12-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,17.675,WON,,Acquisition Of Partial Interest,Withdrawn,25.364,1969-12-31 23:59:59.999999969,1969-12-31 23:59:59.999999974,1969-12-31 23:59:59.999999972,Private,Public,Other Financials,Software,,-33.623,0.0,13.628,-32.735,-53.908,13.268,39.894,2020-12-29
['Hangzhou Xinman Enterprise Management Consulting Partnership LP'],['Zhongman Petroleum and Natural Gas Group Corp Ltd'],2021-11-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.972,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.972,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999980,,Private,Public,Professional Services,Oil & Gas,,-29.879,11.399,3.345,-39.164,14.941,4.385,39.68,2021-11-03
['KNL Corp'],['Caelum Co Ltd'],2019-07-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.724,WON,['Raise cash through disposal'],Acquisition Of Majority Interest,Withdrawn,4.724,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000016,Private,Public,Other Financials,Machinery,,139.109,46.73,3.917,142.532,47.88,4.014,42.25,2019-07-29
['Zhejiang Medical & Health Group Co Ltd'],['Zhejiang Jolly Pharmaceutical Co Ltd'],2020-03-25,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.633,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.633,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999985,Subsidiary,Public,Other Financials,Pharmaceuticals,,125.245,28.09,3.284,134.408,30.144,3.525,38.529,2020-03-25
['Investor Group'],['Fengxing Co Ltd'],2021-07-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.164,CY,,Acquisition Of Partial Interest,Withdrawn,4.164,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999987,1970-01-01 00:00:00.000000003,Private,Public,Other Financials,Metals & Mining,,24.507,15.718,2.86,25.115,16.108,2.931,38.149,2021-07-21
['EG Retail Australia Pty Ltd'],"[""Oliver's Real Food Ltd""]",2020-03-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.065,AU,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,0.065,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000056,1970-01-01 00:00:00.000000008,Subsidiary,Public,Other Financials,FOOD/BEVERAGES,,-3.482,0.0,0.781,-7.477,-29.553,1.677,37.814,2020-03-11
['Wuhu Chuheng Investment Management Center LP'],['Anhui Xinke New Materials Co Ltd'],2020-05-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.168,CY,['General strategy to take advantage of sound investment opportunities'],Acquisition Of Partial Interest,Withdrawn,0.168,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000006,Private,Public,Asset Management,Metals & Mining,,-1.738,0.0,0.594,-2.179,-5.878,0.745,37.742,2020-05-29
['Como Srl'],['Fope SpA'],2020-02-21,0,Europe,Europe,9.974,EUR,['Strengthen operations'],Acquisition Of Majority Interest,Withdrawn,9.974,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000003,Private,Public,Other Financials,Other Consumer Products,,10.103,7.185,1.401,10.122,7.198,1.403,37.696,2020-02-21
['Beijing Haidian State owned Capital Operation Co Ltd'],['Beijing UniStrong Science & Technology Co Ltd'],2019-01-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.829,CY,['General restructuring of business/operations'],Acquisition Of Partial Interest,Withdrawn,1.829,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000003,1969-12-31 23:59:59.999999995,Private,Public,Asset Management,Aerospace & Defense,,47.898,19.193,3.966,67.986,27.243,5.629,68.155,2019-01-04
['MHC Mobility Sp z o o'],['Prime Car Management SA'],2018-12-28,0,Europe,Europe,5.826,PZ,,Merger,Withdrawn,3.166,1970-01-01 00:00:00.000000141,1970-01-01 00:00:00.000000131,1970-01-01 00:00:00.000000151,Subsidiary,Public,Professional Services,Professional Services,,289.271,1.842,0.697,289.271,1.842,0.697,69.379,2018-12-28
['Ningxia Water Investment Group Co Ltd'],['Baota Industry Co Ltd'],2021-08-24,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.329,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.329,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999985,1969-12-31 23:59:59.999999977,Subsidiary,Public,Water and Waste Management,Other Industrials,,6729.705,0.0,14.783,6955.859,-24.161,15.279,36.976,2021-08-24
['Han Bing'],['Joyware Electronics Co Ltd'],2020-01-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.352,CY,,Acquisition Of Partial Interest,Withdrawn,1.352,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999995,1970-01-01 00:00:00.000000010,Investor,Public,Other Financials,Telecommunications Equipment,,-31.715,0.0,11.925,-31.748,-34.262,11.937,36.832,2020-01-21
['Victory Summit Global Ltd'],['FDG Kinetic Ltd'],2021-07-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.001,HK,,Merger,Withdrawn,0.001,1969-12-31 23:59:59.999999923,1969-12-31 23:59:59.999999915,1969-12-31 23:59:59.999999920,Private,Public,Other Financials,Other Materials,,-0.093,0.0,0.943,-0.91,-9.157,9.214,36.533,2021-07-05
['Gu Xiantao'],['Shenzhen Minkave Technology Co Ltd'],2020-10-22,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.701,CY,,Acquisition Of Partial Interest,Withdrawn,0.701,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999988,Investor,Public,Other Financials,Building/Construction & Engineering,,-17.831,0.0,5.277,-20.927,-22.252,6.193,36.437,2020-10-22
['Shenzhen Yuanzhi Fuhai High-tech Investment Enterprise LP'],['Shenzhen JingQuanHua Electronics Co Ltd'],2020-12-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.847,CY,,Acquisition Of Partial Interest,Withdrawn,2.847,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000005,Subsidiary,Public,Brokerage,Electronics,,68.091,33.83,2.613,68.43,33.998,2.626,36.345,2020-12-08
['Axar Capital Management LP'],['StoneMor Partners LP'],2020-05-28,0,Americas,Americas,0.8,US,['Strengthen operations'],Acquisition Of Remaining Interest,Withdrawn,0.67,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000053,Private,Public,Asset Management,Professional Services,,-0.835,0.0,0.268,-3.758,-36.825,1.208,35.968,2020-05-28
['Titan Minerals Ltd'],['Core Gold Inc'],2019-02-24,0,Asia Pacific Excluding Central Asia,Americas,0.335,C,,Merger,Withdrawn,0.335,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000051,1970-01-01 00:00:00.000000076,Public,Public,Metals & Mining,Metals & Mining,,-7.714,0.0,1.768,-8.841,-20.317,2.026,57.365,2019-02-24
['Investor Group'],['Panda Financial Holding Corp Ltd'],2020-05-16,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.718,CY,['Allow to offer new products and services'],Acquisition Of Partial Interest,Withdrawn,0.718,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999980,Private,Public,Other Financials,Credit Institutions,,-9.778,0.0,9.737,-9.778,-12.335,9.737,35.765,2020-05-16
['Investor Group'],['Da Yu Financial Holdings Ltd'],2018-12-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.066,HK,,Acquisition Of Partial Interest,Withdrawn,0.066,1970-01-01 00:00:00.000000112,1970-01-01 00:00:00.000000112,1970-01-01 00:00:00.000000112,Private,Public,Other Financials,CHEMICALS,,-240.496,0.0,,-397.897,,,66.536,2018-12-28
['Sport Lisboa E Benfica SGPS SA'],['Sport Lisboa e Benfica Futebol SAD'],2019-11-18,0,Europe,Europe,5.525,EUR,,Acquisition Of Majority Interest,Withdrawn,5.525,1970-01-01 00:00:00.000000082,1970-01-01 00:00:00.000000079,1970-01-01 00:00:00.000000084,Private,Public,Other Financials,Recreation & Leisure,,3.913,1.379,0.694,8.246,2.906,1.463,35.666,2019-11-18
['Duan Peizhang'],['Shanghai LongYun Cultural Creation & Technology Group Co Ltd'],2021-06-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.27,CY,,Acquisition Of Partial Interest,Withdrawn,1.27,1969-12-31 23:59:59.999999970,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999980,Investor,Public,Other Financials,Advertising & Marketing,,-51.732,0.0,1.601,-53.742,-43.92,1.664,35.556,2021-06-10
['Thomas Shie'],['China Zenith Chemical Group Ltd'],2020-08-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.093,HK,,Acquisition Of Partial Interest,Withdrawn,0.093,1970-01-01 00:00:00.000000128,1970-01-01 00:00:00.000000140,1970-01-01 00:00:00.000000080,Investor,Public,Other Financials,Chemicals,,-2.528,0.0,5.004,-5.436,-18.832,10.758,35.489,2020-08-19
['Gansu Guokai Investment Co Ltd'],['Haimo Technologies Group Corp'],2020-06-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.84,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.84,1970-01-01 00:00:00.000000235,1970-01-01 00:00:00.000000236,1970-01-01 00:00:00.000000238,Private,Public,Other Financials,Oil & Gas,,-9.687,201.879,8.064,-10.968,228.576,9.13,35.397,2020-06-29
['Titan Wise Group Ltd'],['ICO Group Ltd'],2020-02-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.006,HK,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,0.006,,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000008,Private,Public,Other Financials,IT Consulting & Services,,9.552,8.868,0.455,9.947,9.234,0.474,35.363,2020-02-03
['Lin Chunguang'],['Willing New Energy Co Ltd'],2018-09-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.191,CY,,Acquisition Of Partial Interest,Withdrawn,2.191,1970-01-01 00:00:00.000000138,1970-01-01 00:00:00.000000138,1970-01-01 00:00:00.000000137,Investor,Public,Other Financials,Machinery,,156.213,114.839,17.184,141.097,103.727,15.521,84.755,2018-09-20
['Jiang Yong'],['Kaiyuan Education Technology Group Co Ltd'],2021-07-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.66,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.66,1969-12-31 23:59:59.999999989,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999981,Investor,Public,Other Financials,Educational Services,,-2.301,0.0,1.646,-2.639,-7.779,1.888,34.311,2021-07-30
['Korea Information & Communications Co Ltd'],['Korea Information & Communications Co Ltd'],2020-01-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,6.436,WON,['Other'],Buyback,Intent Withdrawn,6.436,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000000,Public,Public,Computers & Peripherals,Computers & Peripherals,,11.151,5.914,0.548,6.834,3.624,0.336,34.278,2020-01-07
['Adaman Resources Ltd'],['Silver Lake (Egan Street) Pty Ltd'],2019-11-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.276,AU,,Merger,Withdrawn,0.276,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000066,Private,Public,Other Financials,Metals & Mining,,-9.295,0.0,579.789,-8.751,-8.861,545.844,33.863,2019-11-01
['Pko Leasing SA'],['Prime Car Management SA'],2018-11-07,0,Europe,Europe,6.015,PZ,,Merger,Withdrawn,2.976,1970-01-01 00:00:00.000000150,1970-01-01 00:00:00.000000139,1970-01-01 00:00:00.000000159,Subsidiary,Public,Credit Institutions,Professional Services,,299.021,1.904,0.721,299.021,1.904,0.721,71.631,2018-11-07
['Investor Group'],['Guangdong Tianan New Material Co Ltd'],2020-04-16,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.736,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.736,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999983,Private,Public,Other Financials,Chemicals,,855.883,27.546,1.624,967.882,31.151,1.837,32.747,2020-04-16
['Great Wall Capital Management Co Ltd'],['Jiang Su Wujin Stainless Steel Pipe Group Co Ltd'],2020-01-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.427,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.427,1969-12-31 23:59:59.999999987,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999997,Subsidiary,Public,Alternative Financial Investments,Metals & Mining,,8.973,6.853,1.216,8.423,6.432,1.141,32.53,2020-01-11
['Investor Group'],['Zhejiang Ausun Pharmaceutical Co Ltd'],2020-04-25,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.292,CY,['Strengthen existing operations/expand presence in primary market'],Acquisition Of Partial Interest,Withdrawn,3.292,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999987,Private,Public,Other Financials,Pharmaceuticals,,58.628,52.155,12.405,55.557,49.423,11.755,32.48,2020-04-25
['EDU Holdings Ltd'],['Redhill Education Pty Ltd'],2020-12-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.594,AU,"['Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,0.594,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000023,Public,Public,Educational Services,Educational Services,,-2.085,3.765,0.614,-2.19,3.955,0.645,32.406,2020-12-14
['Nanjing Guanqian Minfa Enterprise Mangement Partnership LP'],['EleFirst Science & Technology Co Ltd'],2020-04-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.031,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.031,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000001,Subsidiary,Public,Professional Services,Other Industrials,,158.002,77.72,6.976,162.93,80.144,7.194,32.406,2020-04-01
['Dayou Power Holdings Co Ltd'],['Jiangsu Huasheng Tianlong Photoelectric Co Ltd'],2021-01-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.674,CY,,Acquisition Of Partial Interest,Withdrawn,0.674,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999982,Private,Public,Other Financials,Semiconductors,,-33.895,0.0,9.631,-33.873,-94.359,9.625,32.373,2021-01-12
['CTJ Holdings2 Ltd'],['Fine Metal Technologies PCL'],2019-09-27,0,Japan,Asia Pacific Excluding Central Asia,0.335,BA,['Strengthen operations'],Merger,Withdrawn,0.335,1969-12-31 23:59:59.999999944,1969-12-31 23:59:59.999999945,1969-12-31 23:59:59.999999945,Subsidiary,Public,Other Financials,Metals & Mining,,4.653,1.9,0.087,11.277,4.606,0.211,32.143,2019-09-27
['Pon Hldg BV'],['Accell Group BV'],2018-11-13,0,Europe,Europe,21.312,EUR,,Acquisition Of Partial Interest,Withdrawn,21.312,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000015,Private,Public,AUTOMOTIVE,Automobiles & Components,,51.953,11.214,0.472,70.194,15.152,0.638,66.986,2018-11-13
['NH Special Purpose Acquisition 13 Co Ltd'],['AngioLab Inc'],2020-06-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,12.974,WON,['Strengthen operations'],Merger,Withdrawn,12.974,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999979,Public,Public,Alternative Financial Investments,Pharmaceuticals,,-4.348,0.0,21.242,-4.696,-12.115,22.943,31.533,2020-06-29
['Off Shelf 10082 AB'],['Skanska Energi AB'],2018-09-21,0,Europe,Europe,8.537,SKR,,Merger,Withdrawn,7.968,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,Subsidiary,Public,Other Financials,Power,,32.597,18.52,3.364,34.576,19.644,3.569,74.952,2018-09-21
['Bronze Pony Investments Ltd'],['Yuxing Infotech Investment Holdings Ltd'],2020-06-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.077,CY,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,0.077,1970-01-01 00:00:00.000000114,1970-01-01 00:00:00.000000117,1970-01-01 00:00:00.000000128,Private,Public,Other Financials,Telecommunications Equipment,,30.587,0.0,3.9,18.136,-12.112,2.313,30.945,2020-06-21
['Lanzhou Asia Pacific Industry & Trade Group Co Ltd'],['Gansu Yatai Industrial Development Co Ltd'],2020-11-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.612,CY,,Acquisition Of Partial Interest,Withdrawn,0.612,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999977,Subsidiary,Public,Construction Supplies & Fixtures,Other Real Estate,,58.681,73.565,8.406,62.904,78.859,9.011,30.508,2020-11-18
['Lai Hanxuan'],['Hybio Pharmaceutical Co Ltd'],2021-07-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.663,CY,,Acquisition Of Partial Interest,Withdrawn,0.663,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999974,Investor,Public,Other Financials,Pharmaceuticals,,-5.765,0.0,6.087,-8.158,-11.306,8.613,30.375,2021-07-03
